good afternoon this is gene from global travel how may i assist you today  (spk1_1)
hello rebecca yes we specialize in cruise travel worldwide  (spk1_2)
yes we can assist you in planning a family reunion cruise for your extended family  (spk1_3)
how many people would be included in this family reunion vacation  (spk1_4)
yes i can help you book a group cruise for twelve family members   (spk1_5)
do you have a specific location you would like to cruise to   (spk1_6)
okay you would like to visit the hawaiian islands during the summer months  (spk1_7)
most of the cruises to the hawaiian islands leave from a california port what port  (spk1_8)
would be most convenient for your group to lead from  (spk1_9)
yes we can find your cruise during the summer months for twelve people leaving out of san diego  (spk1_10)
how many nights would you like to cruise for  (spk1_11)
okay you would like to book a cruise for ten days  (spk1_12)
we have a cruise that leaves july tenth for ten days returning on july twentieth that cruz would leave out of the san diego port  (spk1_13)
does that time framework for you  (spk1_14)
this cruise includes the island i hope also known as honolulu mounted kawaii and the big island of hawaii  (spk1_15)
it includes off shore excursions to pearl harbor in waikiki beach went in hall hello  (spk1_16)
also included in the off shore excursion package in maui is a van tour that will take you along the coast on the road to hana or a visit to the holly akula vent volcano  (spk1_17)
in addition when on the big island you can visit the volcano national park or go snorkeling at the captain cook monument in kona where they have some of the best snorkeling in hawaii  (spk1_18)
do any of these tourist interest you  (spk1_19)
how many rooms will you be needing   (spk1_20)
do you prefer inside state rooms or rooms with a balcony   (spk1_21)
yes there is availability on this cruise for five cabins that have balconies to accommodate your group   (spk1_22)
this cruise is offering a few specials for that cruise date would you like to hear them   (spk1_23)
if you booked this cruise by april first your we should seek ship credit vouchers for two off shore excursions per room you can apply these vouchers towards some of the excursions i mentioned earlier   (spk1_24)
in addition for the adults this includes a guided tour of the ship's kitchen the engine room and the art collection throughout the ship   (spk1_25)
for the children they have unlimited access to the water slides mini golf course in the go kart track onboard the ship  (spk1_26)
does this sound like a cruise that would work for your family reunion  (spk1_27)
great i will work up a price for you and call you back this afternoon at seven one six seven three five two one one  (spk1_28)
i will also quote you a price for airfare for eight people from denver to the port and for for people from phoenix to the san diego port the day prior to the cruise  (spk1_29)
do you have any questions about this cruise package  (spk1_30)
okay great i will get back to you later today rebecca thank you for choosing global travel for your vacation planning  (spk1_31)
